Course Code,Course Name,TK,AKTS,Type,Class Type,Instructor Name,Semester
CEMI1001,Calculus I,5,6,Zorunlu,Uygulamalı Ders,Prof. Dr. Gökhan ÇAYLI,1
CEMI1005,Computer Programming,3,4,Zorunlu,Uygulamalı Ders,Prof. Dr. L. Muhammed SEVGİLİ,1
CEMI1023,General Chemistry I,3,6,Zorunlu,Ders,Prof. Dr. Tülay YILDIZ,1
CEMI1022,Introduction to Environmental Engineering and Ethics,2,3,Zorunlu,Ders,Assoc. Prof. Dr. Adem YURTSEVER,1
CEMI1002,Physics I,4,6,Zorunlu,Uygulamalı Ders,Asst. Prof. Dr. İlknur HOŞ,1
CEMI1024,Principles of Research and Writing,2,2,Zorunlu,Ders,Prof.Dr. Nüket SİVRİ,1
CEMI1010,Technical English I,2,2,Zorunlu,Ders,Assoc. Prof. Dr. Can GÜNGÖREN,1
CEMI1012,Calculus II,5,6,Zorunlu,Uygulamalı Ders,Prof. Dr. Gökhan ÇAYLI,2
CEMU1015,Ecology,2,5,Zorunlu,Ders,Assoc. Prof. Dr. Adem YURTSEVER,2
CEMI1025,Entrepreneurship and Career Planning,2,2,Zorunlu,Ders,Prof. Dr. Bülent ARMAĞAN,2
CEMI1013,Physics II,4,6,Zorunlu,Uygulamalı Ders,Assist. Prof. Dr. İlknur HOŞ,2
CEMI1016,Static and Strength,2.5,3,Zorunlu,Uygulamalı Ders,Dr. İrem YAĞMUROĞLU,2
CEMI1014,Statistics and Probability,2.5,5,Zorunlu,Uygulamalı Ders,Assist. Prof. Dr. Feride ULU,2
CEMI1021,Technical English II,2,2,Zorunlu,Ders,Assoc. Prof. Dr. Can GÜNGÖREN,2
CEMI2024,Clean Energy Technologies,2,3,Seçmeli,Ders,Prof.Dr. Bülent ARMAĞAN,3
CEMI2006,Current Computer Applications in Environmental Engineering,3,4,Zorunlu,Uygulamalı Ders,Dr. Sümeyye ÇEKİM,3
CEMI2002,Differential Equations,4,6,Zorunlu,Ders,Assoc. Prof. Dr. Uğur ODABAŞI,3
CEMI2003,Fluid Mechanics,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Semih NEMLİOĞLU,3
CEMI2026,General Chemistry II,3,7,Zorunlu,Ders,Assist. Prof. Dr. Ceyhun AKARSU,3
CEMI2029,Geographic Information Systems,2,3,Seçmeli,Ders,Assoc. Prof. Dr. Ülkü KALAYCI ŞAHİNOĞLU,3
CEMI2031,Microbiology,3,4,Zorunlu,Ders,Prof. Dr. Gulsum YILMAZ,3
CEMI3009,Sustainability and Green Production,2,3,Seçmeli,Ders,Assist. Prof. Dr. Ceyhun AKARSU,3
CEMI2005,Thermodynamics,2.5,3,Seçmeli,Uygulamalı Ders,Prof. Dr. L. Muhammed SEVGİLİ,3
CEMI2008,Urbanization and Environmental Problems,2,3,Seçmeli,Ders,Prof. Dr. Emine E. ÖZBAŞ,3
CEMI2023,Climate Change and Its Environmental Effects,2,3,Seçmeli,Ders,Prof. Dr. Semih NEMLİOĞLU,4
CEMI2018,Computer Aided Technical Drawing,4,3,Zorunlu,Uygulamalı Ders,"Assoc. Prof. Dr. Adem YURTSEVER, Assoc. Prof. Dr. Sinan GÜNEYSU",4
CEMI2028,Engineering Mathematics,2,5,Zorunlu,Ders,Prof. Dr. Gökhan ÇAYLI,4
CEMI2027,Environmental Chemistry,3,4,Zorunlu,Ders,Assist.Prof. Dr. Ceyhun AKARSU,4
