Course Code,Course Name,TK,AKTS,Type,Class Type,Instructor Name,Semester
CEMU1911,Araştırma ve Yazım İlkeleri,2,2,Zorunlu,Ders,Prof.Dr. Recep BONCUKCUOĞLU,1
CEMU1905,Bilgisayar Programlama,3,4,Zorunlu,Uygulamalı Ders,"Dr. Öğr. Üyesi İbrahim Metin HASDEMİR, Doç. Dr. Sinan GÜNEYSU",1
CEMU1910,Çevre Mühendisliğine Giriş ve Etik,2,3,Zorunlu,Ders,Prof. Dr. Serdar AYDIN,1
CEMU1900,Fizik I,4,6,Zorunlu,Uygulamalı Ders,Dr. Öğr. Üyesi Utku ZORBA,1
CEMU2047,Genel Kimya I,3,6,Zorunlu,Ders,"Dr. Öğr. Üyesi Ayşe E. KURTOĞLU, Dr. Öğr. Üyesi Güler TÜRKOĞLU DEMİRKOL",1
CEMU1902,Matematik I,5,6,Zorunlu,Uygulamalı Ders,Öğr. Gör. Zakir Emre GÜVEN,1
CEMU1908,Ekoloji,2,5,Zorunlu,Ders,Prof. Dr. Nüket SİVRİ,2
CEMU1901,Fizik II,4,6,Zorunlu,Uygulamalı Ders,Dr.Öğr.Üyesi Utku ZORBA,2
CEMU1912,Girişimcilik ve Kariyer Planlama,2,2,Zorunlu,Ders,"Prof.Dr. H. Kurtuluş ÖZCAN, Prof.Dr.Serdar AYDIN",2
CEMU1907,İstatistik ve Olasılık,2.5,5,Zorunlu,Uygulamalı Ders,Doç.Dr. Ender ÇETİN,2
CEMU1903,Matematik II,5,6,Zorunlu,Uygulamalı Ders,Öğr.Gör. Zakir Emre GÜVEN,2
CEMU1909,Statik ve Mukavemet,2.5,3,Zorunlu,Uygulamalı Ders,Doç.Dr. Barış YILDIZLAR,2
CEMU2031,Akışkanlar Mekaniği,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Semih NEMLİOĞLU,3
CEMU2054,Coğrafi Bilgi Sistemleri,2,3,Seçmeli,Ders,"Prof. Dr.Namık AYSAL, Dr. Direnç AZAZ",3
CEMU2921,Çevre Mühendisliğinde Güncel Bilgisayar Uygulamaları,3,2,Zorunlu,Uygulamalı Ders,Araş.Gör.Dr.Sümeyye ÇEKİM,3
CEMU2922,Diferansiyel Denklemler,4,6,Zorunlu,Ders,Dr. Öğr. Üyesi Aminu YUSUF,3
CEMU2048,Genel Kimya II,3,5,Zorunlu,Ders,Prof. Dr. Recep BONCUKCUOĞLU,3
CEMU2064,Halk Sağlığı ve Çevre,2,3,Seçmeli,Ders,Prof. Dr. H. Kurtuluş ÖZCAN,3
CEMU2061,Kentleşme ve Çevre Sorunları,2,3,Seçmeli,Ders,Prof. Dr. Emine E. ÖZBAŞ,3
CEMU2055,Mikrobiyoloji,3,4,Zorunlu,Ders,Prof. Dr. Nüket SİVRİ,3
CEMU3041,Sürdürülebilirlik ve Yeşil Üretim,2,3,Seçmeli,Ders,Doç.Dr. Naim SEZGİN,3
CEMU2051,Teknik İngilizce I,2,4,Zorunlu,Ders,Doç.Dr. Can GÜNGÖREN,3
CEMU2923,Temiz Enerji Teknolojileri,2,3,Seçmeli,Ders,Dr.Öğr. Üyesi Güler TÜRKOĞLU DEMİRKOL,3
CEMU2024,Termodinamik,2.5,2,Seçmeli,Uygulamalı Ders,Prof. Dr. Süheyla ÇEHRELİ,3
CEMU2022,Bilgisayar Destekli Teknik Resim,4,3,Zorunlu,Uygulamalı Ders,Doç.Dr. Sinan GÜNEYSU,4
CEMU2049,Çevre Kimyası,3,3,Zorunlu,Ders,Prof. Dr. Recep BONCUKCUOĞLU,4
CEMU2026,Çevre Mühendisliğinde Taşınım Prosesleri,2,2,Zorunlu,Ders,Prof. Dr. İlda VERGİLİ,4
CEMU2036,Çevresel Toksikoloji,2,3,Seçmeli,Ders,Prof. Dr. Serdar AYDIN,4
CEMU2050,Deniz ve Göl Bilimi,2,3,Seçmeli,Ders,Prof. Dr. Nüket SİVRİ,4
CEMU2027,Hidrolik,2.5,2,Zorunlu,Uygulamalı Ders,Prof. Dr. Semih NEMLİOĞLU,4
CEMU2035,Hidroloji,2.5,2,Zorunlu,Uygulamalı Ders,Prof. Dr. Z. Beril ÖZÇELEP,4
CEMU2028,İklim Değişikliği ve Çevresel Etkileri,2,3,Seçmeli,Ders,Prof. Dr. Ülkü ALVER ŞAHİN,4
CEMU3028,Malzeme Bilgisi,2,3,Seçmeli,Ders,Dr. Öğr. Üyesi Melek CUMBUL ALTAY,4
CEMU2053,Mühendislik Matematiği,2,5,Zorunlu,Ders,Prof.Dr. Gökhan ÇAYLI,4
CEMU2056,Radyoaktivite ve Nükleer Enerji,2,3,Seçmeli,Ders,Doç.Dr. Naim SEZGİN,4
CEMU2052,Teknik İngilizce II,2,4,Zorunlu,Ders,Doç.Dr. Can GÜNGÖREN,4
CEMU3021,Atmosfer Kimyası,2.5,2,Zorunlu,Uygulamalı Ders,Prof. Dr. Burcu ONAT,5
CEMU2029,Avrupa Birliği Çevre Politikaları ve Uygulamaları,2,3,Seçmeli,Ders,Prof. Dr. Hüseyin SELÇUK,5
CEMU3031,Çevresel Kaynakların Yönetimi,2,3,Seçmeli,Ders,Prof. Dr. Yasemin KAYA,5
CEMU3025,Çevresel Örnekleme ve Analiz,2,3,Seçmeli,Ders,Prof. Dr. İlda VERGİLİ,5
CEMU3022,Doğa ve Biyolojik Çeşitlilik,2,3,Seçmeli,Ders,Prof. Dr. Nüket SİVRİ,5
CEMU3008,Gürültü Kirlenmesi ve Kontrolü,2,3,Seçmeli,Ders,Doç.Dr.Ender ÇETİN,5
CEMU3010,Katı Atık Geri Kazanma Teknikleri,2,3,Seçmeli,Ders,Prof. Dr. Bülent ARMAĞAN,5
CEMU3038,Katı Atıkların Yönetimi,3,3,Zorunlu,Ders,Prof. Dr. H. Kurtuluş ÖZCAN,5
CEMU3030,Kimyasal Prosesler,2.5,4,Zorunlu,Uygulamalı Ders,Prof. Dr. Atakan ÖNGEN,5
CEMU3016,Su Temini,2.5,3,Zorunlu,Uygulamalı Ders,Doç.Dr. Naim SEZGİN,5
CEMU3024,Temel İşlemler,3,4,Zorunlu,Uygulamalı Ders,Prof. Dr. Hüseyin SELÇUK,5
CEMU3032,Toplam Kalite Yönetimi,2,3,Seçmeli,Ders,Prof. Dr. Burcu ONAT,5
CEMU3037,Anaerobik Arıtma,2,3,Seçmeli,Ders,Doç.Dr. Naim SEZGİN,6
CEMU3068,Arıtma Tesisi Hidroliği,2,3,Seçmeli,Ders,Prof. Dr. Z. Beril ÖZÇELEP,6
CEMU3027,Atıksuların Uzaklaştırılması,2,2,Zorunlu,Uygulamalı Ders,Prof. Dr. Emine ELMASLAR ÖZBAŞ,6
CEMU3023,Biyolojik Prosesler,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Gülsüm YILMAZ,6
CEMU4074,Çevre Mühendisliğinde Proje Yönetimi,2,3,Seçmeli,Ders,"Prof. Dr. Neşe TÜFEKCİ, Dr.Öğr.Üyesi Güler TÜRKOĞLU DEMİRKOL",6
CEMU3014,Endüstriyel Atık Yönetimi,2,3,Seçmeli,Ders,Prof. Dr. İlda VERGİLİ,6
CEMU3067,Enstrümental Analiz,2,3,Seçmeli,Ders,Prof. Dr. İlda VERGİLİ,6
CEMU3069,Hava Kirliliği Ölçme Teknikleri,2,3,Seçmeli,Ders,Prof. Dr. Ülkü ALVER ŞAHİN,6
CEMU3034,Hava Kirliliği ve Kontrolü,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Ülkü ALVER ŞAHİN,6
CEMU4021,Özel ve Tehlikeli Atıklar,2,3,Seçmeli,Ders,Doç.Dr. Ender ÇETİN,6
CEMU3029,Su Kalite Kontrolü,3,3,Zorunlu,Ders,Prof. Dr. Nilgün BALKAYA,6
CEMU3001,Suların Arıtılması,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Hüseyin SELÇUK,6
CEMU4056,Arıtma Tesislerinde Yapı Teknolojileri,2,3,Seçmeli,Ders,Prof. Dr. Nilgün BALKAYA,7
